Latitude,Longitude,Elevation
41.44410000,-73.9785500,12.0
41.44406000,-73.9785400,12.0
41.44402000,-73.9785200,11.0
41.44399000,-73.9785100,11.0
41.44396000,-73.9784800,11.0
41.44394000,-73.9784600,11.0
41.44390000,-73.9784400,11.0
41.44387000,-73.9784200,12.0
41.44384000,-73.9784000,12.0
41.44381000,-73.9783900,12.0
41.44376000,-73.9783600,12.0
41.44373000,-73.9783500,12.0
41.44370000,-73.9783300,12.0
41.44367000,-73.9783100,13.0
41.44364000,-73.9782900,13.0
41.44362000,-73.9782600,14.0
41.44359000,-73.9782300,14.0
41.44356000,-73.9782000,15.0
41.44353000,-73.9781700,16.0
41.44351000,-73.9781500,16.0
41.44348000,-73.9781200,16.0
41.44345000,-73.9780800,17.0
41.44342000,-73.9780600,17.0
41.44339000,-73.9780400,18.0
41.44336000,-73.9780200,18.0
41.44333000,-73.9780100,18.0
41.44330000,-73.9780100,18.0
41.44327000,-73.9780000,19.0
41.44324000,-73.9779900,19.0
41.44321000,-73.9779800,19.0
41.44318000,-73.9779700,20.0
41.44315000,-73.9779500,21.0
41.44311000,-73.9779100,22.0
41.44308000,-73.9779000,23.0
41.44305000,-73.9778800,23.0
41.44300000,-73.9778500,25.0
41.44297000,-73.9778500,26.0
41.44294000,-73.9778400,27.0
41.44291000,-73.9778400,27.0
41.44288000,-73.9778300,28.0
41.44284000,-73.9778300,28.0
41.44281000,-73.9778300,29.0
41.44277000,-73.9778400,29.0
41.44271000,-73.9778500,29.0
41.44268000,-73.9778600,29.0
41.44265000,-73.9778900,28.0
41.44260000,-73.9779200,27.0
41.44256000,-73.9779100,27.0
41.44253000,-73.9779000,28.0
41.44248000,-73.9778500,28.0
41.44247000,-73.9778200,29.0
41.44244000,-73.9777900,29.0
41.44241000,-73.9777300,30.0
41.44241000,-73.9776900,31.0
41.44241000,-73.9776200,32.0
41.44242000,-73.9775800,34.0
41.44243000,-73.9775400,35.0
41.44243000,-73.9775000,36.0
41.44244000,-73.9774300,38.0
41.44246000,-73.9773400,41.0
41.44247000,-73.9773000,42.0
41.44249000,-73.9772500,44.0
41.44250000,-73.9772000,46.0
41.44250000,-73.9771300,48.0
41.44251000,-73.9770900,49.0
41.44251000,-73.9770500,50.0
41.44254000,-73.9770100,52.0
41.44254000,-73.9769600,53.0
41.44256000,-73.9769200,55.0
41.44257000,-73.9768600,58.0
41.44260000,-73.9768400,60.0
41.44262000,-73.9768300,61.0
41.44261000,-73.9767800,63.0
41.44257000,-73.9767400,63.0
41.44257000,-73.9766800,65.0
41.44261000,-73.9766500,68.0
41.44265000,-73.9766200,71.0
41.44268000,-73.9765900,73.0
41.44269000,-73.9765400,76.0
41.44269000,-73.9765000,77.0
41.44270000,-73.9764300,80.0
41.44273000,-73.9764100,83.0
41.44276000,-73.9764000,84.0
41.44280000,-73.9764000,86.0
41.44279000,-73.9763500,88.0
41.44280000,-73.9763100,90.0
41.44282000,-73.9762600,93.0
41.44282000,-73.9762000,96.0
41.44281000,-73.9761300,98.0
41.44281000,-73.9760900,99.0
41.44279000,-73.9760500,99.0
41.44274000,-73.9760200,97.0
