Latitude,Longitude,Elevation
40.63773000,-75.9734400,240.0
40.63771000,-75.9733400,240.0
40.63770000,-75.9732200,239.0
40.63772000,-75.9730400,236.0
40.63773000,-75.9728900,235.0
40.63775000,-75.9727700,234.0
40.63771000,-75.9724800,234.0
40.63769000,-75.9723400,235.0
40.63766000,-75.9722000,235.0
40.63763000,-75.9720800,235.0
40.63762000,-75.9719400,235.0
40.63764000,-75.9718500,234.0
40.63770000,-75.9717900,233.0
40.63776000,-75.9717400,232.0
40.63783000,-75.9716300,231.0
40.63788000,-75.9714800,230.0
40.63790000,-75.9713800,230.0
40.63792000,-75.9712700,229.0
40.63798000,-75.9711900,229.0
40.63806000,-75.9711900,229.0
40.63817000,-75.9712000,230.0
40.63834000,-75.9711900,231.0
40.63849000,-75.9711100,230.0
40.63858000,-75.9710500,230.0
40.63870000,-75.9709700,230.0
40.63875000,-75.9709200,230.0
40.63878000,-75.9708500,230.0
40.63883000,-75.9707100,229.0
40.63884000,-75.9706600,229.0
40.63888000,-75.9704500,228.0
40.63893000,-75.9702800,228.0
40.63895000,-75.9701900,227.0
40.63896000,-75.9700900,227.0
40.63896000,-75.9699400,226.0
40.63893000,-75.9698100,225.0
40.63886000,-75.9697700,224.0
40.63878000,-75.9697400,223.0
40.63875000,-75.9696500,223.0
40.63876000,-75.9695900,223.0
40.63880000,-75.9695200,223.0
40.63884000,-75.9694300,223.0
40.63887000,-75.9692500,222.0
40.63892000,-75.9691300,222.0
40.63898000,-75.9690400,222.0
40.63904000,-75.9689800,222.0
40.63911000,-75.9689100,221.0
40.63914000,-75.9688100,221.0
40.63919000,-75.9686700,221.0
40.63925000,-75.9685900,220.0
40.63939000,-75.9682800,219.0
40.63940000,-75.9680400,219.0
40.63937000,-75.9678800,218.0
40.63937000,-75.9676900,218.0
40.63939000,-75.9675800,217.0
40.63938000,-75.9674100,216.0
40.63933000,-75.9672100,214.0
40.63928000,-75.9670800,212.0
40.63923000,-75.9669100,211.0
40.63922000,-75.9666600,208.0
40.63918000,-75.9664800,206.0
40.63915000,-75.9663600,205.0
40.63912000,-75.9661700,205.0
40.63911000,-75.9660800,205.0
40.63913000,-75.9660100,205.0
40.63915000,-75.9658800,204.0
40.63917000,-75.9657700,205.0
40.63917000,-75.9655700,205.0
40.63919000,-75.9654500,205.0
40.63922000,-75.9652900,206.0
40.63921000,-75.9651600,206.0
40.63918000,-75.9650200,206.0
40.63913000,-75.9649600,206.0
40.63908000,-75.9649300,205.0
40.63902000,-75.9649100,205.0
40.63885000,-75.9646900,203.0
40.63880000,-75.9645700,203.0
40.63875000,-75.9645300,203.0
40.63870000,-75.9645300,203.0
40.63864000,-75.9645600,203.0
40.63858000,-75.9645900,203.0
40.63851000,-75.9646200,203.0
40.63847000,-75.9646900,203.0
40.63842000,-75.9648400,203.0
40.63836000,-75.9649700,203.0
40.63834000,-75.9650000,203.0
40.63831000,-75.9650800,203.0
40.63828000,-75.9651500,203.0
40.63828000,-75.9652300,203.0
40.63829000,-75.9653200,203.0
40.63831000,-75.9654300,203.0
40.63831000,-75.9654900,203.0
40.63828000,-75.9655700,203.0
40.63823000,-75.9656700,204.0
40.63815000,-75.9657200,205.0
40.63809000,-75.9657500,206.0
40.63806000,-75.9658100,206.0
40.63802000,-75.9658500,207.0
40.63799000,-75.9659000,207.0
40.63795000,-75.9659700,208.0
40.63792000,-75.9660300,208.0
40.63790000,-75.9663000,209.0
40.63789000,-75.9664100,210.0
40.63785000,-75.9664800,210.0
40.63782000,-75.9665300,211.0
40.63780000,-75.9666700,212.0
40.63773000,-75.9667400,213.0
40.63759000,-75.9668300,215.0
40.63758000,-75.9668800,216.0
40.63756000,-75.9669500,217.0
40.63755000,-75.9670100,217.0
40.63753000,-75.9670800,218.0
40.63751000,-75.9671500,218.0
40.63747000,-75.9672300,219.0
40.63745000,-75.9673700,220.0
40.63744000,-75.9674700,221.0
40.63743000,-75.9675400,221.0
40.63742000,-75.9675900,221.0
40.63742000,-75.9676600,221.0
40.63745000,-75.9677100,221.0
40.63750000,-75.9677900,220.0
40.63752000,-75.9678600,220.0
40.63754000,-75.9679200,219.0
40.63755000,-75.9679800,219.0
