the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,icon
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,968,881001639,4910 Botanic Ave (Unknown Station),no,39.93735554,-75.20683882,trash
0101000020E6100000BFA434B977C952C01F4222C729034440,0101000020110F0000DF1CFC635DE95FC14230EB8467935241,848,174872,Nw Broad/Wyoming,no,40.02471246,-75.14793234,trash
0101000020E6100000FC30DA1045C952C0CC142E6402054440,0101000020110F0000E083EE5707E95FC1C60829BE73955241,849,174873,NW Broad/Olney,no,40.03913548,-75.14484044,trash
0101000020E61000000C96594437C952C032EBD6C645054440,0101000020110F000079F79EE7EFE85FC1365CEE7EBE955241,850,174875,Se Broad/Grange,no,40.04119192,-75.14399823,trash
0101000020E61000001134C56F2DC952C055A3845BAB054440,0101000020110F0000A00DF534DFE85FC1EF13F02F2F965241,851,174876,Se Broad/Champolst,no,40.04429192,-75.14339823,trash
0101000020E6100000041D812B6DCF52C0FE3A2928ECFA4340,0101000020110F0000C86CD1837CF35FC169B3DCDF448A5241,852,174877,Se 60th & Chestnut,no,39.96033194,-75.2410382,trash
0101000020E61000003283BBC651C952C03C77A94886044440,0101000020110F0000777EF9EE1CE95FC165F66412EA945241,853,174879,NW Broad & Somerville,no,40.03534802,-75.14561623,trash
0101000020E6100000F23F7CCC2AC952C0E02DD43CB4054440,0101000020110F000012F2EAB9DAE85FC11EC4F50939965241,854,174880,NE Broad & Champlost,no,40.04456292,-75.14323723,trash
0101000020E6100000595CB3F4FCCC52C0E260497878094440,0101000020110F00002C39783958EF5FC1EFC3FEFE669A5241,855,1400004,8229 Germantown Ave.,no,40.07398895,-75.2029392,trash
0101000020E6100000E7FA9431F7C852C04511A3F6F8FE4340,0101000020110F0000F772DE1183E85FC10F8E7FF6C18E5241,856,1400007,Se 5th/Lehigh,no,39.99197276,-75.1400875,trash
0101000020E610000034B90CA4E7C852C017011FD18EFF4340,0101000020110F00000BF4D5A668E85FC11E0CC016688F5241,857,1400012,SE 5th/Indiana,yes,39.99654593,-75.13913823,trash
0101000020E610000008EF0BD70BCD52C0A903649885094440,0101000020110F000053C8B98171EF5FC1DB025790759A5241,858,1400013,8308 Germantown Ave,no,40.0743895,-75.20384766,trash
0101000020E6100000B572E0D83CCD52C053BC2C44FBF74340,0101000020110F000072A614C0C4EF5FC19BD43BC802875241,859,1400014,4910 Botanic Ave (Unknown Location),no,39.93735554,-75.20683882,trash
0101000020E6100000FBE4C62979CB52C09065AC69A9F74340,0101000020110F0000BF960585C5EC5FC147BC0A1EA8865241,860,1400015,Nw Earp/Point Breeze,no,39.93485757,-75.17927021,trash
0101000020E610000073A1008AEDC852C0905D162C5FFF4340,0101000020110F0000B078A4AB72E85FC1A0B3EF44338F5241,861,1400016,Se 5th/Cambria,no,39.99509193,-75.13949823,trash
0101000020E6100000CDD9A15798C852C0EE10B26660FC4340,0101000020110F00003EAC88F4E1E75FC18D5DBB5EE18B5241,862,1400017,Ne Frankford//Master,no,39.97169193,-75.13429824,trash
0101000020E61000008F0D2ACB16D152C02FDFFF7932FD4340,0101000020110F000020D0C37A4FF65FC1453F0431CA8C5241,863,1401885,Se Drexel Rd/Haverford,yes,39.97810292,-75.26701621,trash
0101000020E610000094B8FC75F8CA52C0F444559158F64340,0101000020110F00001FAEE2E7EAEB5FC1F867F50B33855241,864,1401886,SE 15th St & Snyder Ave,no,39.92457787,-75.17141485,trash
0101000020E61000000C38D4184BC952C0EF0B7B99AFF94340,0101000020110F00009B0C889611E95FC145A52724E6885241,865,1401887,3rd/Church (Between Market and Arch),yes,39.95067137,-75.14520856,trash
0101000020E6100000D7C135C34AD152C05C081CAE66FD4340,0101000020110F0000217B06C1A7F65FC11BE6FF0C048D5241,866,1401888,7516 City Ave,yes,39.97969605,-75.27018814,trash
0101000020E610000068557381E9CE52C02607D593FCFA4340,0101000020110F00001AA0B1DE9CF25FC17B58B611578A5241,867,1401889,Sw 56th/Market,no,39.96083305,-75.23300205,trash
0101000020E6100000E29DFD065DCA52C0012AC92D94F94340,0101000020110F000076B1DFE2E2EA5FC18CE533C3C7885241,868,1401890,"13th & Sansom, NE",no,39.94983456,-75.16192794,trash
0101000020E610000085112C17B6C852C074053FC306FC4340,0101000020110F000071754B7C14E85FC1E97356087E8B5241,869,1401891,Ne Front/Girard,no,39.96895638,-75.13611392,trash
0101000020E6100000F64AFD6BE1CA52C0768B40FC18F84340,0101000020110F000012F28AC5C3EB5FC1420582B323875241,870,1401892,NE 16th/Washington Ave,no,39.93826249,-75.17000866,trash
0101000020E61000008543117845C952C00A8488DA19FA4340,0101000020110F000036C3400708E95FC1971673DC5B895241,871,1401893,Se 3rd/Race,yes,39.95391399,-75.14486505,trash
0101000020E6100000D38B880523CE52C0641093DACCFA4340,0101000020110F0000071A8AB94BF15FC108FB8D30228A5241,872,1401894,Se 50th/Market,no,39.95937664,-75.22088755,trash
0101000020E610000006985CF884C952C06333F322BFF94340,0101000020110F0000376234E473E95FC17E85BD5AF7885241,873,1401895,5th Street (Bourse Bldg.),no,39.95114552,-75.14874085,trash
0101000020E6100000E9B3A8E85BCA52C01115F35A95F94340,0101000020110F0000F6B682FCE0EA5FC16556DA10C9885241,874,1401896,13th and Sansom NE,yes,39.94987046,-75.16185967,trash
0101000020E6100000234D5A16A5CB52C0346D2A32CDF84340,0101000020110F0000E2BB102110ED5FC144DD4353EB875241,875,1401897,SE Grays Ferry & Fitzwaters,yes,39.94376208,-75.18195113,trash
0101000020E6100000434AA63B39CB52C03CB6A291AFF84340,0101000020110F0000AEF281ED58EC5FC1EFEE6581CA875241,876,1401898,NW 20th/Fitzwaters,yes,39.94285794,-75.17536823,trash
0101000020E61000004C4A306B4AC952C01D409CE5DBF94340,0101000020110F0000A5F9956F10E95FC1D083D03717895241,877,1401899,Se 3rd/Arch,yes,39.95202322,-75.14516716,trash
